channel_title,views
DamonAndJo,101812.00
Clevver News,201689.00
NBA,307934.00
The White House,1544644.00
William Osman,255000.00
Good Morning America,384762.00
Tyler Oakley,316489.00
Refinery29,19579.00
Grace Helbig,99614.00
NitroV2,49148.00
Klossy,612646.00
Atlantic Records,251591.00
ExplosmEntertainment,590227.00
Molly Burke,218227.00
Watch What Happens Live with Andy Cohen,105399.00
Smosh,1193493.00
How To Cake It,524326.00
Mike Boyd,353327.00
Rosanna Pansino,495109.00
Mashable Daily,440154.00
ViralHog,341655.00
WIRED,108474.00
ElleOfTheMills,1076767.00
Ellie and Jared,1005203.00
PitbullVEVO,4313491.00
BBC News,956750.00
Simon's Cat,195978.00
The View,477463.00
NFL,620204.00
ScreenJunkies News,56359.00
Warner Bros. Pictures,82526.00
Feelunique,16766.00
PTXofficial,2292393.00
TiffyQuake,38479.00
Doug DeMuro,1350802.00
Business Insider,60509.00
Entertainment Tonight,9282.00
Steve TV Show,48385.00
Tom Scott,524466.00
Wassabi Productions,443492.00
Marques Brownlee,1266148.00
ImagineDragonsVEVO,578130.00
ColliderVideos,74120.00
The Real Daytime,237218.00
Pitch Perfect,3646907.00
Rudy Mancuso,1583525.00
Hannah Stocking,1503633.00
CNN,169022.00
MiguelVEVO,622601.00
Unbox Therapy,4697856.00
Galantis,197485.00
The New Yorker,47230.00
H&M,329203.00
ANDREW HUANG,88830.00
AnthonyPadilla,290632.00
JerryRigEverything,713491.00
HQVideoDude,161357.00
Great Big Story,182650.00
Darren Criss,61479.00
Just Between Us,162174.00
The Cuddle Squad,48014.00
David Jardine,34346.00
The Verge,105670.00
POPSUGAR,36588.00
SiriusXM,27303.00
Loudwire,23557.00
legofreedom1,17098.00
The X Factor UK,882357.00
Sara Dietschy,53025.00
Rainsford,7217.00
NZPoliceRecruitment,802464.00
Billboard News,3817.00
Technomanila,37292.00
Define American,1873.00
Apple Support,7126.00
Cam'ron,913450.00
DraftExpress,1432.00
Guardian News,518018.00
NASA,26527.00
ElectroBOOM,301360.00
Casually Explained,2836959.00
clothesencounters,448980.00
BuzzFeed Nifty,20879.00
West Midlands Police,865552.00
JonTronShow,3457795.00
Teen Vogue,14069.00
The Scran Line,47973.00
Dorkly,1311894.00
BuzzFeedVideo,819692.00
The Deal Guy,144946.00
FoxSearchlight,349383.00
CFL Insider,51053.00
ThreadBanger,1344916.00
CollegeHumor,757408.00
Markiplier,701874.00
FOX Sports,172131.00
Chriselle Lim,34187.00
Miss Universe,717004.00
Lame Videos,872663.00
Bethany Mota,1281002.00
grav3yardgirl,402509.00
truTV,3597.00
Thomas Sanders,294007.00
Funny Or Die,41944.00
RAP DAILY,1244459.00
The Grand Tour,1058992.00
Hevesh5,189308.00
Why Don't We,797363.00
Lele Pons,5827999.00
Simone Giertz,633103.00
CS Dojo,169915.00
ibighit,36857298.00
Laura in the Kitchen,148590.00
AmazingPhil,2127874.00
Lucy Moon,41869.00
ELLEUKTV,714359.00
Ingrid Nilsen,123804.00
Applied Science,79154.00
AFP news agency,4040.00
OK Go,7967275.00
MrNorrisVideos,127640.00
Butch Hartman,145560.00
geicocaveman2012,177098.00
Maker's Box,8924.00
Anew Start,443969.00
Tina Nguyen,22695.00
I Like To Make Stuff,1547962.00
CalumScottVEVO,1728219.00
shurap,86721.00
WWE,746691.00
DemiLovatoVEVO,6296393.00
GEazyMusicVEVO,1554273.00
The View,279827.00
Late Night with Seth Meyers,1855536.00
The Late Show with Stephen Colbert,888126.00
Marvel Entertainment,66637636.00
Jimmy Kimmel Live,856874.00
Lindsey Stirling,588112.00
Billboard,1674757.00
Ed Sheeran,8128270.00
FBE,865993.00
Mnet K-POP,2289723.00
NFL,928751.00
Netflix,207223.00
The New York Times,521173.00
Inside Edition,352661.00
TheEllenShow,409414.00
TheJuicyJVEVO,121274.00
The Late Late Show with James Corden,2705437.00
5FDPVEVO,202697.00
Shoshana Bean,80811.00
Snapchat,2564402.00
TODAY,216332.00
Open Road Films,1216410.00
Vox,709836.00
Martin Garrix,1418342.00
How To Cook That,129052.00
First We Feast,629474.00
Sony Pictures Entertainment,834157.00
IISuperwomanII,1366086.00
jacksfilms,922966.00
Great Big Story,95050.00
ChrisStapletonVEVO,57539.00
Hunter Hayes,18630.00
Taylor Nicole Dean,518850.00
WTHR,28461.00
Matthias,815492.00
BuzzFeedVideo,225107.00
Focus Features,377495.00
shane,3965961.00
Itzztonytony,261544.00
colinfurze,640620.00
The Dodo,2609695.00
The School of Life,122909.00
Kylie Cosmetics,1511919.00
Beyond The Trailer,120253.00
The Official Pokémon YouTube Channel,72700.00
JOLLY,138633.00
SamSmithWorldVEVO,2926192.00
Anna Akana,207217.00
Jeremy Jahns,489930.00
LukeBryanVEVO,48394.00
Numberphile,242385.00
The Tonight Show Starring Jimmy Fallon,494355.00
CYNVEVO,73470.00
TheScriptVEVO,110706.00
SigridVEVO,106941.00
Mark Rober,7374569.00
The Telegraph,749392.00
Corinne Leigh,405552.00
Trailers Promos Teasers,180832.00
CaseyNeistat,1473385.00
Alesso,509284.00
Glam&Gore,486574.00
SciShow,375008.00
NBA,76802.00
BUILD Series,81007.00
CNN,6084.00
NBC News,12415.00
Google,223443.00
LissieVEVO,6598.00
PrettyMuchVEVO,95919.00
Simply Nailogical,1655243.00
FIFATV,222827.00
The Voice,1025124.00
HollywoodLife,3401089.00
20th Century Fox,2493439.00
Red Bull,2801054.00
Fleur DeForce,110552.00
RM Videos,28224.00
ESPN,540841.00
Millie T,205637.00
Variety,576145.00
Screen Junkies,1924017.00
CinemaSins,1680084.00
HiHo Kids,162834.00
TBS,831481.00
Cracked,426956.00
Clevver News,277149.00
USA TODAY,4484.00
HANSON,60078.00
Vogue,620623.00
Madelaine Petsch,213230.00
E! Entertainment,734351.00
One List - One Life,40644.00
Omeleto,68934.00
KaneBrownVEVO,520498.00
Munchies,813401.00
INSIDER,18246.00
Tasty,302298.00
The Royal Family Channel,210889.00
vlogbrothers,281930.00
cgriesemer,19703.00
REACT,1448855.00
NitroV2,76558.00
Andre Black Nerd,59866.00
Grandpa Kitchen,463811.00
Good Morning America,402486.00
The White House,1747311.00
DamonAndJo,108344.00
Atlantic Records,357640.00
Molly Burke,231341.00
Tyler Oakley,341688.00
Genius,87484.00
Klossy,655758.00
Grace Helbig,105700.00
ExplosmEntertainment,608019.00
ScreenJunkies News,58858.00
Refinery29,22302.00
William Osman,290080.00
Mashable Daily,620441.00
How To Cake It,567285.00
Rosanna Pansino,547624.00
Smosh,1260320.00
Mike Boyd,370689.00
Watch What Happens Live with Andy Cohen,109021.00
ViralHog,388669.00
ImagineDragonsVEVO,637040.00
TiffyQuake,47848.00
Simon's Cat,213658.00
PitbullVEVO,5069078.00
ElleOfTheMills,1134602.00
Marques Brownlee,1294511.00
Ellie and Jared,1078287.00
ColliderVideos,75324.00
WIRED,122139.00
PTXofficial,2647145.00
SiriusXM,34017.00
Galantis,252868.00
The Verge,117240.00
Business Insider,65990.00
ANDREW HUANG,91888.00
Entertainment Tonight,10482.00
Warner Bros. Pictures,96706.00
The New Yorker,50085.00
Feelunique,18769.00
Doug DeMuro,1394843.00
BBC News,61931.00
AnthonyPadilla,297063.00
Wassabi Productions,457481.00
Tom Scott,538384.00
David Jardine,37535.00
The Real Daytime,244725.00
Steve TV Show,51462.00
MiguelVEVO,739189.00
Darren Criss,66787.00
Rudy Mancuso,1640327.00
Hannah Stocking,1628979.00
Just Between Us,165453.00
POPSUGAR,102344.00
H&M,402183.00
legofreedom1,20020.00
JerryRigEverything,737487.00
Pitch Perfect,3839093.00
Sara Dietschy,55675.00
Unbox Therapy,4882055.00
NASA,34039.00
HQVideoDude,176357.00
Loudwire,24102.00
Flash Rahbbit,5925.00
Rainsford,7498.00
The Cuddle Squad,50156.00
Apple Support,7582.00
Billboard News,3928.00
Teen Vogue,15150.00
Technomanila,37999.00
Define American,2005.00
Guardian News,520636.00
The X Factor UK,1041524.00
ElectroBOOM,306792.00
BuzzFeed Nifty,21416.00
FoxSearchlight,349743.00
The Scran Line,49313.00
NZPoliceRecruitment,897451.00
Charles Chan,12515.00
Cam'ron,980944.00
The Deal Guy,145213.00
DraftExpress,1952.00
CFL Insider,53812.00
Casually Explained,2952730.00
clothesencounters,464544.00
JonTronShow,3558563.00
West Midlands Police,933117.00
Miss Universe,737415.00
Dorkly,1339398.00
Chriselle Lim,36110.00
FOX Sports,176838.00
Science vs Cinema,6320.00
ThreadBanger,1361969.00
CollegeHumor,768647.00
Wengie,1048933.00
DemiLovatoVEVO,12310289.00
Hevesh5,458963.00
Saturday Night Live,95016.00
GEazyMusicVEVO,3853829.00
CNN,104499.00
Mr. Kate,227188.00
Jimmy Kimmel Live,264632.00
Lindsey Stirling,1254472.00
Vanity Fair,607076.00
The Late Show with Stephen Colbert,1334974.00
Late Night with Seth Meyers,2357163.00
Shoshana Bean,218100.00
Billboard,3428217.00
Netflix,413615.00
TheJuicyJVEVO,413168.00
BuzzFeedVideo,747542.00
Mnet K-POP,3211941.00
Marvel Entertainment,74789251.00
ワーナー ブラザース 公式チャンネル,755014.00
Kandee Johnson,19767.00
Ed Sheeran,14197878.00
Inside Edition,692696.00
TheEllenShow,1106283.00
Vox,477893.00
communitychannel,164324.00
FBE,1040886.00
Open Road Films,2902143.00
Star Wars,242741.00
Arden Rose,37594.00
SiaVEVO,693228.00
NFL,1128180.00
The New York Times,656786.00
The Late Late Show with James Corden,3379817.00
5FDPVEVO,373069.00
NBA,48587.00
Martin Garrix,2347274.00
Great Big Story,232608.00
How To Cook That,200192.00
ChrisStapletonVEVO,116992.00
TODAY,281242.00
Lucy Moon,36865.00
Snapchat,2944563.00
Mike Diva,55556.00
Molly Burke,15859.00
JamesAVEVO,297306.00
Hunter Hayes,46460.00
JOLLY,206441.00
IISuperwomanII,1759333.00
First We Feast,722893.00
Sony Pictures Entertainment,958200.00
Focus Features,860346.00
Taylor Nicole Dean,596381.00
LukeBryanVEVO,77152.00
The Official Pokémon YouTube Channel,87351.00
Matthias,956199.00
Tessa Violet,82239.00
kmichelle,103737.00
jacksfilms,966085.00
The School of Life,149953.00
colinfurze,957077.00
CYNVEVO,88962.00
shane,4141383.00
TheScriptVEVO,244136.00
The Dodo,3855331.00
SamSmithWorldVEVO,3511092.00
Anna Akana,238031.00
Kylie Cosmetics,1637258.00
Numberphile,279995.00
The Tonight Show Starring Jimmy Fallon,566477.00
Jeremy Jahns,515062.00
SigridVEVO,212691.00
The Telegraph,794748.00
WTHR,31197.00
Mark Rober,8564155.00
Corinne Leigh,432914.00
Trailers Promos Teasers,186984.00
CaseyNeistat,1548688.00
Alesso,706590.00
PrettyMuchVEVO,141092.00
Glam&Gore,523850.00
Google,257939.00
SciShow,397068.00
FIFATV,254082.00
NBC News,13262.00
Simply Nailogical,1734509.00
Beyond The Trailer,126565.00
LissieVEVO,12495.00
HollywoodLife,3899113.00
The Voice,1117861.00
20th Century Fox,2701691.00
Red Bull,3027415.00
HANSON,72473.00
Fleur DeForce,118026.00
Millie T,270023.00
ESPN,634970.00
RM Videos,32725.00
BUILD Series,84988.00
One List - One Life,41274.00
Cracked,434727.00
Variety,614868.00
Screen Junkies,1997077.00
CinemaSins,1724388.00
TBS,928569.00
Clevver News,326534.00
Complex,50494.00
The Royal Family Channel,228461.00
cgriesemer,35749.00
E! Entertainment,811708.00
Madelaine Petsch,242783.00
Vogue,650733.00
Omeleto,74370.00
MOBO Awards,32219.00
KaneBrownVEVO,620282.00
Genius,103605.00
USA TODAY,4688.00
Tasty,318711.00
Refinery29,24996.00
Munchies,854960.00
NitroV2,106639.00
vlogbrothers,297772.00
DamonAndJo,114549.00
Andre Black Nerd,64044.00
Good Morning America,413252.00
Atlantic Records,440431.00
Maggie Smith Kühn,3411.00
Tyler Oakley,359363.00
REACT,1484758.00
Pies Are Awesome,1515.00
Facelesstech,1237.00
INSIDER,19381.00
Grandpa Kitchen,524730.00
Klossy,694338.00
The White House,1958265.00
Warner Bros. Pictures,104716.00
Grace Helbig,109209.00
Mashable Daily,830001.00
ExplosmEntertainment,623894.00
ScreenJunkies News,60969.00
Rosanna Pansino,599059.00
William Osman,305670.00
How To Cake It,602405.00
Simon's Cat,228288.00
Mike Boyd,392970.00
Business Insider,3778.00
Watch What Happens Live with Andy Cohen,111305.00
ViralHog,451006.00
Smosh,1320095.00
Ross Kempsell,2975.00
TiffyQuake,64568.00
Entertainment Tonight,11123.00
BBC News,1135001.00
Galantis,298330.00
ImagineDragonsVEVO,657286.00
ColliderVideos,76125.00
PTXofficial,2976109.00
PitbullVEVO,5816097.00
WIRED,136089.00
ElleOfTheMills,1188797.00
Feelunique,19484.00
SiriusXM,41612.00
The View,502681.00
ANDREW HUANG,94199.00
The Real Daytime,249973.00
The New Yorker,52315.00
Ellie and Jared,1124700.00
NASA,45561.00
AnthonyPadilla,302703.00
Doug DeMuro,1430659.00
David Jardine,39210.00
POPSUGAR,212031.00
MiguelVEVO,844675.00
Wassabi Productions,469527.00
Steve TV Show,54208.00
Darren Criss,71849.00
Tom Scott,547005.00
Hannah Stocking,1811398.00
Rudy Mancuso,1701374.00
Marques Brownlee,1316758.00
Just Between Us,168118.00
legofreedom1,23082.00
H&M,466185.00
The Verge,122477.00
Pitch Perfect,4046720.00
JerryRigEverything,759274.00
Flash Rahbbit,7436.00
Sara Dietschy,58301.00
Unbox Therapy,5068126.00
HQVideoDude,186722.00
Loudwire,24491.00
Rainsford,7746.00
The Cuddle Squad,50593.00
Teen Vogue,16361.00
Apple Support,7952.00
Billboard News,4010.00
Define American,2093.00
The X Factor UK,1201905.00
NZPoliceRecruitment,965328.00
Technomanila,38600.00
ElectroBOOM,311117.00
Saturday Night Live,2798497.00
5-Minute Crafts,6315549.00
Gus Johnson,199519.00
The X Factor UK,892103.00
CrazyRussianHacker,546025.00
Hevesh5,1421466.00
FOX Sports,204293.00
The King of Random,616695.00
Wengie,1982884.00
Netflix,228716.00
CNN,328575.00
HellthyJunkFood,113122.00
DemiLovatoVEVO,15463329.00
Lele Pons,2474283.00
GEazyMusicVEVO,6119892.00
BuzzFeedBlue,221797.00
CollegeHumor,444397.00
The Food Ranger,341584.00
RealLifeLore,494592.00
Jimmy Kimmel Live,868849.00
iJustine,149886.00
Mr. Kate,457462.00
Vanity Fair,1091340.00
Lindsey Stirling,1894772.00
NBA,111124.00
European Space Agency- ESA,74720.00
Be Amazed,47661.00
Molly Burke,35973.00
Shoshana Bean,330467.00
Tech Insider,114918.00
The Late Show with Stephen Colbert,1548142.00
TheJuicyJVEVO,691515.00
communitychannel,224103.00
Late Night with Seth Meyers,2600029.00
BuzzFeedVideo,942962.00
Billboard,3958427.00
ワーナー ブラザース 公式チャンネル,1040061.00
Red Bull,131198.00
Mnet K-POP,3539361.00
Ed Sheeran,19316205.00
Star Wars,430232.00
Inside Edition,876695.00
Máquina Voadora,22090.00
Marvel Entertainment,80360459.00
5FDPVEVO,503171.00
Kandee Johnson,39658.00
Vox,554069.00
TheEllenShow,1388010.00
Tom Daley,27616.00
SiaVEVO,991568.00
Mike Diva,85795.00
Open Road Films,3092365.00
FBE,1099012.00
Lucy Moon,58866.00
Martin Garrix,3170624.00
Arden Rose,63692.00
John Campea,30469.00
NFL,1240044.00
The New York Times,761318.00
This Morning,198437.00
Great Big Story,357210.00
The Late Late Show with James Corden,3649473.00
JOLLY,231407.00
How To Cook That,226409.00
Cracked,85372.00
ChrisStapletonVEVO,156059.00
TODAY,306020.00
Hunter Hayes,62886.00
Snapchat,3206396.00
First We Feast,788114.00
The Official Pokémon YouTube Channel,94728.00
IISuperwomanII,1969303.00
Xscape - Topic,24972.00
Focus Features,1288274.00
LukeBryanVEVO,95682.00
Sony Pictures Entertainment,1048792.00
Taylor Nicole Dean,634596.00
kmichelle,132872.00
Matthias,1101420.00
jacksfilms,988476.00
Tessa Violet,128555.00
colinfurze,1202565.00
Life Noggin,256786.00
The Dodo,4623012.00
PrettyMuchVEVO,184848.00
Half as Interesting,261506.00
TheScriptVEVO,335640.00
SB Nation,92102.00
shane,4294048.00
SamSmithWorldVEVO,4114769.00
Alesso,1075693.00
Anna Akana,251729.00
Numberphile,296536.00
Kylie Cosmetics,1692191.00
Jeremy Jahns,531013.00
LissieVEVO,15938.00
The Tonight Show Starring Jimmy Fallon,610426.00
The School of Life,162482.00
Mark Rober,9267408.00
Corinne Leigh,467339.00
WTHR,31715.00
The Telegraph,839082.00
CaseyNeistat,1612730.00
Glam&Gore,563168.00
SciShow,420932.00
SigridVEVO,340088.00
CYNVEVO,99353.00
First Aid Kit,13128.00
Simply Nailogical,1790918.00
Trailers Promos Teasers,192156.00
Google,282760.00
HollywoodLife,4509368.00
The University of Chicago,7188.00
NBC News,13755.00
The Voice,1170099.00
20th Century Fox,2836046.00
Beyond The Trailer,129917.00
Millie T,312273.00
ESPN,700096.00
cgriesemer,43279.00
HANSON,82043.00
Fleur DeForce,123944.00
TBS,1006575.00
FIFATV,283781.00
Clevver News,352497.00
Screen Junkies,2057589.00
CinemaSins,1760535.00
Variety,638979.00
Madelaine Petsch,260042.00
Vote The Process,88257.00
E! Entertainment,859196.00
RM Videos,36684.00
One List - One Life,41742.00
Vogue,674279.00
BUILD Series,88463.00
Refinery29,27945.00
KaneBrownVEVO,725461.00
Tasty,328143.00
RackaRacka,1133142.00
QUARTZ,65409.00
MOBO Awards,34390.00
NitroV2,131803.00
Munchies,886543.00
USA TODAY,4874.00
vlogbrothers,311054.00
Atlantic Records,539602.00
Omeleto,78612.00
Tyler Oakley,373314.00
Complex,53817.00
REACT,1515846.00
The Royal Family Channel,237467.00
Klossy,732629.00
The White House,2118097.00
Andre Black Nerd,67561.00
Mashable Daily,993022.00
TiffyQuake,81968.00
ExplosmEntertainment,636739.00
INSIDER,20102.00
Genius,113345.00
Grandpa Kitchen,574266.00
DamonAndJo,120015.00
Rosanna Pansino,632190.00
William Osman,316549.00
Pies Are Awesome,1776.00
How To Cake It,626364.00
razzark666,51984.00
Facelesstech,1315.00
Good Morning America,419243.00
Mike Boyd,406960.00
ViralHog,543639.00
Grace Helbig,111793.00
Smosh,1374287.00
ScreenJunkies News,62622.00
BBC News,1184049.00
WIRED,148038.00
Galantis,338590.00
PTXofficial,3260376.00
PitbullVEVO,6374457.00
Business Insider,3842.00
Watch What Happens Live with Andy Cohen,114696.00
ElleOfTheMills,1232041.00
Skelly Robot,4767.00
Entertainment Tonight,11661.00
Ross Kempsell,3052.00
POPSUGAR,344534.00
Ellie and Jared,1161776.00
SiriusXM,49017.00
Warner Bros. Pictures,110360.00
MiguelVEVO,955104.00
ColliderVideos,76956.00
Doug DeMuro,1457307.00
Feelunique,19976.00
Wassabi Productions,478259.00
Tom Scott,556475.00
Simon's Cat,239592.00
Hannah Stocking,1970963.00
Rudy Mancuso,1752883.00
ANDREW HUANG,96082.00
The New Yorker,54141.00
H&M,534291.00
LIL UZI VERT,682894.00
Universal Pictures,2693367.00
Breakfast Club Power 105.1 FM,307242.00
5MadMovieMakers,481783.00
Good Mythical Morning,497085.00
5-Minute Crafts,10883016.00
Mike Boyd,539605.00
NFL,1270477.00
Linkin Park,523885.00
Gus Johnson,389207.00
CrazyRussianHacker,1002937.00
Saturday Night Live,3707365.00
The Dodo,336662.00
The X Factor UK,2121624.00
Victoria's Secret,211403.00
Vox,331367.00
TMZ,56736.00
GraceVanderWaalVEVO,479732.00
Life Noggin,160340.00
Netflix,433758.00
Tom Scott,153131.00
Cracked,239226.00
The King of Random,798301.00
Hevesh5,2073239.00
HellthyJunkFood,165106.00
TheEllenShow,174569.00
FOX Sports,258271.00
Pac-12 Networks,19333.00
CNN,421286.00
Wengie,2150401.00
Josh Groban,27459.00
ThreadBanger,914633.00
BuzzFeedBlue,288815.00
Lele Pons,3178950.00
Tom Daley,52339.00
DemiLovatoVEVO,17931825.00
Refinery29,8957.00
John Campea,62122.00
The Food Ranger,420650.00
Big Ten Network,71072.00
GEazyMusicVEVO,8258471.00
Tech Insider,172031.00
CollegeHumor,517703.00
ESPN,47614.00
European Space Agency- ESA,122648.00
RealLifeLore,608273.00
Be Amazed,68913.00
Simply Nailogical,2706676.00
Jimmy Kimmel Live,1127924.00
iJustine,177938.00
Mr. Kate,543050.00
NBA,153186.00
Máquina Voadora,65799.00
Molly Burke,47054.00
Vanity Fair,1338294.00
Lindsey Stirling,2553735.00
Red Bull,232142.00
Shoshana Bean,404250.00
PBS NewsHour,21819.00
communitychannel,263233.00
The Late Show with Stephen Colbert,1778470.00
Late Night with Seth Meyers,2817216.00
Shay Mitchell,3192347.00
BuzzFeedVideo,1030745.00
Billboard,4160214.00
ワーナー ブラザース 公式チャンネル,1236251.00
Ed Sheeran,24409021.00
5FDPVEVO,622885.00
Mike Diva,92897.00
SiaVEVO,1195683.00
Mnet K-POP,3747210.00
Inside Edition,976479.00
Lucy Moon,65966.00
Martin Garrix,3888666.00
Open Road Films,3197543.00
FBE,1118659.00
Marvel Entertainment,84281319.00
Great Big Story,512020.00
This Morning,210072.00
The New York Times,868868.00
The Late Late Show with James Corden,3820337.00
How To Cook That,237006.00
Kandee Johnson,44611.00
JOLLY,268059.00
ChrisStapletonVEVO,187610.00
JamesAVEVO,615260.00
Arden Rose,69420.00
Hunter Hayes,76186.00
Car Commercials of the Past,4631.00
TODAY,313431.00
First We Feast,838549.00
Xscape - Topic,32987.00
Focus Features,1300715.00
LukeBryanVEVO,114655.00
Snapchat,3352913.00
IISuperwomanII,2089947.00
Boldly,1316854.00
Taylor Nicole Dean,657524.00
Sony Pictures Entertainment,1121733.00
Matthias,1192990.00
Tessa Violet,139892.00
colinfurze,1291261.00
PrettyMuchVEVO,218012.00
Half as Interesting,268590.00
jacksfilms,1008131.00
SB Nation,95891.00
LissieVEVO,19100.00
Itzztonytony,339306.00
SamSmithWorldVEVO,4866020.00
The Official Pokémon YouTube Channel,98894.00
Alesso,1413723.00
Numberphile,307915.00
Anna Akana,262063.00
shane,4395483.00
Kylie Cosmetics,1727746.00
Jeremy Jahns,541237.00
The School of Life,172632.00
The Tonight Show Starring Jimmy Fallon,639815.00
First Aid Kit,16360.00
TheScriptVEVO,472518.00
Mark Rober,9821377.00
WTHR,32050.00
Corinne Leigh,476768.00
The Telegraph,864903.00
CaseyNeistat,1655120.00
Glam&Gore,587308.00
SciShow,436683.00
CYNVEVO,113307.00
Trailers Promos Teasers,195420.00
HollywoodLife,4961443.00
NBC News,13997.00
The University of Chicago,7554.00
BUILD Series,94568.00
The Voice,1212650.00
Beyond The Trailer,132468.00
Millie T,336776.00
HANSON,89594.00
TBS,1058032.00
FIFATV,310519.00
cgriesemer,55469.00
Screen Junkies,2109158.00
Google,297680.00
20th Century Fox,2946557.00
Variety,657337.00
CinemaSins,1789817.00
Vote The Process,88657.00
E! Entertainment,896944.00
RM Videos,38793.00
One List - One Life,42463.00
Madelaine Petsch,269201.00
Vogue,692231.00
Gigi Gorgeous,759844.00
KaneBrownVEVO,834616.00
SigridVEVO,452685.00
RackaRacka,1217170.00
Clevver News,364402.00
QUARTZ,65683.00
MOBO Awards,35820.00
Fleur DeForce,127072.00
Atlantic Records,637661.00
USA TODAY,4964.00
Munchies,911100.00
vlogbrothers,320455.00
DamonAndJo,127301.00
REACT,1544798.00
AlmazanKitchen,141225.00
Tyler Oakley,384624.00
Complex,56577.00
The White House,2231089.00
Omeleto,81488.00
Genius,120971.00
The Royal Family Channel,243470.00
Tasty,333820.00
Klossy,758192.00
Mashable Daily,1108618.00
NitroV2,134146.00
INSIDER,20545.00
Andre Black Nerd,70177.00
TiffyQuake,93451.00
William Osman,322376.00
ExplosmEntertainment,647516.00
ViralHog,605918.00
Pies Are Awesome,2082.00
Rosanna Pansino,652798.00
razzark666,52164.00
Facelesstech,1375.00
How To Cake It,640849.00
Good Morning America,423039.00
Smosh,1429023.00
Grandpa Kitchen,607415.00
Grace Helbig,113748.00
Galantis,380031.00
PrincessPiaMiaVEVO,102357.00
ScreenJunkies News,64214.00
PTXofficial,3513086.00
PitbullVEVO,6877412.00
BBC News,1218771.00
WIRED,159322.00
ElleOfTheMills,1275330.00
Business Insider,3912.00
CinemaSins,1758327.00
LIL UZI VERT,2662428.00
5MadMovieMakers,1873538.00
You Suck At Cooking,360880.00
Screen Junkies,495312.00
Dude Perfect,8643326.00
The Late Show with Stephen Colbert,990016.00
Netflix,239087.00
NFL,993435.00
Jimmy Kimmel Live,1365999.00
Tati,456286.00
jacksfilms,1006870.00
LecraeVEVO,112186.00
MLG Highlights,420943.00
Grace Helbig,160196.00
Universal Pictures,4740233.00
TheEllenShow,132458.00
Tanya Burr,141529.00
The View,36945.00
The Voice,300142.00
TMZ,159480.00
Buttered Side Down,84442.00
Breakfast Club Power 105.1 FM,522680.00
Karina Garcia,962042.00
WWE,1241552.00
SMTOWN,1840613.00
Mike Boyd,792371.00
Good Mythical Morning,635370.00
Linkin Park,1030999.00
Alan Walker,539308.00
Variety,36326.00
The Tonight Show Starring Jimmy Fallon,110339.00
The Talk,10393.00
jypentertainment,1552618.00
Vox,607186.00
The Dodo,689279.00
5-Minute Crafts,12310226.00
Cracked,241569.00
KISS FM UK,14086.00
Life Noggin,258975.00
Victoria's Secret,316367.00
Bloomberg Politics,6979.00
Gus Johnson,449175.00
CrazyRussianHacker,1161978.00
GraceVanderWaalVEVO,882324.00
Saturday Night Live,4181144.00
The X Factor UK,2748611.00
Josh Groban,63078.00
IISuperwomanII,874275.00
The New York Times,28378.00
CrashCourse,35892.00
NBA,128551.00
Kayley Melissa,24941.00
Tom Scott,219954.00
Pac-12 Networks,29988.00
ConnorFranta,117218.00
Magnolia Pictures & Magnet Releasing,8023.00
National Geographic,69519.00
First We Feast,92000.00
Associated Press,8200.00
ESPN,63899.00
The King of Random,840424.00
John Campea,72009.00
HellthyJunkFood,181887.00
CNN,443202.00
FOX Sports,271695.00
Red Bull,22178.00
Jack and Dean,130633.00
Hevesh5,2388711.00
Wengie,2233963.00
Lele Pons,3521101.00
Big Ten Network,82958.00
BuzzFeedBlue,313407.00
ThreadBanger,959867.00
European Space Agency- ESA,146710.00
Tech Insider,197356.00
DemiLovatoVEVO,20546909.00
GEazyMusicVEVO,10279835.00
The Food Ranger,480970.00
RealLifeLore,645122.00
CollegeHumor,547294.00
Tom Daley,59982.00
Mr. Kate,581817.00
Refinery29,14250.00
Doctor Mike,48365.00
Máquina Voadora,150622.00
Be Amazed,75873.00
iJustine,188335.00
Simply Nailogical,2929408.00
Lindsey Stirling,3263861.00
Vanity Fair,1475655.00
PBS NewsHour,22020.00
Saint Louis Chess Club,80686.00
Molly Burke,49007.00
Shoshana Bean,454701.00
communitychannel,295527.00
Shay Mitchell,3515288.00
Late Night with Seth Meyers,2940750.00
BuzzFeedVideo,1067312.00
ワーナー ブラザース 公式チャンネル,1383480.00
Kandee Johnson,46911.00
Kita Osaka,5580.00
SiaVEVO,1364527.00
Ed Sheeran,29337935.00
5FDPVEVO,742781.00
Billboard,4269791.00
Mnet K-POP,5416778.00
Inside Edition,1034116.00
Martin Garrix,4667401.00
Open Road Films,3265980.00
Mike Diva,97358.00
Great Big Story,682645.00
How To Cook That,242552.00
FBE,1131507.00
Marvel Entertainment,87449453.00
Car Commercials of the Past,4742.00
Lucy Moon,69518.00
Arden Rose,71996.00
Hunter Hayes,87011.00
ChrisStapletonVEVO,214465.00
JamesAVEVO,901564.00
This Morning,219568.00
The Late Late Show with James Corden,3977910.00
TODAY,318883.00
Xscape - Topic,38083.00
neilyoungchannel,72321.00
JOLLY,286951.00
LukeBryanVEVO,131968.00
Focus Features,1309782.00
Snapchat,3449247.00
The School of Life,185947.00
Boldly,1347194.00
Taylor Nicole Dean,677859.00
LissieVEVO,22307.00
Sony Pictures Entertainment,1187379.00
Matthias,1288373.00
