channel_title,views
Dancing With The Stars,60564.00
Life Noggin,373457.00
Rudy Mancuso,4326684.00
TheEllenShow,137860.00
Summit,4009.00
reputationswift,3006.00
Vox,635985.00
Gus Johnson,130893.00
DunkFest,46954.00
Nickelback,208155.00
Cut,190669.00
nigahiga,2509626.00
The Scran Line,20778.00
TIME,30438.00
MattMasonPhotography,94694.00
amc,211683.00
U2VEVO,210393.00
FreeDawkins,63780.00
Vanity Fair,18438.00
CrazyRussianHacker,1099318.00
Red Bull,71661.00
NFL,935879.00
BBCRadio1VEVO,131153.00
Cleveland Cavaliers on cleveland.com,84149.00
Mark Ferris,34138.00
Vogue,144937.00
Tom Scott,306550.00
PeterSripol,328325.00
Saturday Night Live,2472569.00
hp_overload,341074.00
todrickhall,113963.00
Ben Rohrbach,21544.00
BBC News,93322.00
Hunter Hayes,68084.00
The king of DIY,279092.00
NowThis World,692631.00
People are Awesome,155285.00
Donut Media,93829.00
Eater,31639.00
D3sports.com,37524.00
Cracked,358358.00
Numberphile,158173.00
HANSON,45200.00
SciShow,286577.00
Tested,315177.00
Refinery29,225044.00
Frank May,399491.00
JerryRigEverything,231104.00
NBA on ESPN,5813.00
SIRAH,18317.00
ScreenPrism,246134.00
JimBrowski 96HourNews,32483.00
officer401,113462.00
Emirates,311621.00
Amazon.co.uk,94229.00
Valk Aviation,571588.00
HellthyJunkFood,272604.00
Shantell Martin,42336.00
INSIDER,13750.00
Gregg Peterson,6684.00
Estée Lalonde,128523.00
The Late Late Show with James Corden,102639.00
EminemVEVO,20539417.00
U.S. Navy,238413.00
Canada Soccer,41029.00
Niki and Gabi,805124.00
ViralHog,55140.00
Nobrand,120817.00
FaeryInLoveInc,58469.00
MatthewSantoro,360223.00
dope2111,1775997.00
WLKY News Louisville,6685.00
The Office US,200060.00
Shawn Johnson East,346924.00
JenniferLopezVEVO,12987863.00
Simply Nailogical,1981757.00
NBA Highlights · YouTube,1015189.00
Entertainment Weekly,3653.00
FBE,2255529.00
WWE,1155622.00
CBS Sunday Morning,9892.00
CamilaCabelloVEVO,5626588.00
12 News,85643.00
Grace Helbig,212310.00
Kevin Durant,180284.00
Jeremy Jahns,301423.00
YouTube Spotlight,835573.00
GEazyMusicVEVO,3686343.00
Jonathan Morrison,297840.00
Safiya Nygaard,2922523.00
IGN,595415.00
Lele Pons,3643894.00
ABC News,9833.00
John Lewis,7563254.00
CMAVEVO,54341.00
fosterthepeopleVEVO,357078.00
Jason Derulo,1888789.00
cocheusadoooo,168446.00
Watch What Happens Live with Andy Cohen,263656.00
Amber Scholl,515525.00
Ed Sheeran,39082222.00
Bkav Corp,1080230.00
Alan Walker,873362.00
John Maclean,366892.00
Daelric,48372.00
BuzzFeed Celeb,216766.00
MeganBatoon,81086.00
monday.com- formerly dapulse,3931.00
SUPERFRUIT,1072970.00
Sara Dietschy,56372.00
Saint Louis Chess Club,69786.00
kimbramusic,204298.00
GQ,101233.00
Capital FM,1126501.00
ABC Television Network,2498463.00
Hopeless Records,224608.00
Animal Adventure Park,45965.00
Hope For Paws - Official Rescue Channel,317304.00
Zero Media,1996082.00
John Campea,44939.00
mayratouchofglam,118316.00
HowToBasic,2244971.00
CinemaSins,2844271.00
Bon Appétit,99019.00
IISuperwomanII,3591699.00
BBC Music,1137392.00
LukeBryanVEVO,147193.00
NiallHoranVEVO,482334.00
clothesencounters,269509.00
Liza Koshy,3741812.00
Rachel and Jun,1185773.00
empireofthesunvevo,178313.00
NFVEVO,2185367.00
FoxSearchlight,366814.00
Atlantic Records,797436.00
Marques Brownlee,1646057.00
H&M,271685.00
TMZSports,3505996.00
SuperCarlinBrothers,194946.00
Full Frontal with Samantha Bee,392482.00
SiaVEVO,1882868.00
2CELLOS,226317.00
MsAaliyahJay,232083.00
Business Insider,144694.00
The Late Show with Stephen Colbert,908489.00
ElbowVEVO,180606.00
Nicole Guerriero,308352.00
Late Show with David Letterman,193832.00
Andy Grammer,41251.00
Danny Sapko,524911.00
Simon's Cat,467804.00
Dina Tokio,77302.00
PitbullVEVO,304700.00
RemyMaVEVO,1440724.00
Keith Urban,878560.00
Michelle Khare,155533.00
Nintendo,161231.00
Team Coco,379918.00
Caters Clips,90454.00
TheScriptVEVO,157037.00
MOMOMOYOUTHVEVO,895507.00
Chris and Jack,134372.00
MDNA SKIN,55901.00
X Factor Italia,207678.00
20th Century Fox,3979891.00
You Suck At Cooking,387902.00
Tanner Braungardt,1803724.00
The Late Late Show with James Corden,3621389.00
Cards Against Humanity,1012513.00
iHasCupquake,224426.00
Brent Pella,1147169.00
Attaullah Malik,1362421.00
Jeremy Jahns,593969.00
The Slow Mo Guys,2916453.00
Vox,533940.00
TheEllenShow,1559003.00
TechSmartt,2900560.00
Jimmy Kimmel Live,760341.00
JunsKitchen,1961066.00
FallOutBoyVEVO,1258937.00
alt-J,133212.00
TV Promos,235655.00
Demi Lovato,208117.00
WIRED,229515.00
CinemaSins,1496471.00
Late Night with Seth Meyers,211596.00
The Tonight Show Starring Jimmy Fallon,2223948.00
BostonDynamics,5531707.00
Matthias,623803.00
Anwar Jibawi,1610930.00
Sailor J,42571.00
Taylor Swift,507753.00
E! Entertainment,237107.00
Marques Brownlee,1825705.00
Screen Junkies,1251180.00
Movie Munchies,79863.00
Fueled By Ramen,50934.00
Mental Floss,21740.00
The Graham Norton Show,574778.00
Washington Post,153220.00
WWE,845763.00
Access Hollywood,42769.00
SciShow,177648.00
theneedledrop,225337.00
Pixielocks,17901.00
Jackie Aina,290124.00
SHOWTIME Sports,15232.00
Dolan Twins,1291560.00
reputationswift,28895.00
ProZD,520049.00
NBA Highlights · YouTube,10838.00
ESPN,281868.00
CaseyNeistat,2325233.00
First We Feast,196434.00
REACT,936075.00
Cody'sLab Backup,52607.00
Brian Hull,91701.00
Paramount Pictures,17129.00
LastWeekTonight,5086221.00
iJustine,860406.00
Atlanta Hawks,2394.00
William Osman,153583.00
The Infographics Show,587752.00
NBA,128892.00
DunkFest,98396.00
ColliderVideos,90641.00
Jenny Nicholson,62185.00
Big Cat Rescue,30576.00
RachelPlattenVEVO,33887.00
FreeDawkins,12494.00
TED-Ed,338317.00
Now You See It,232532.00
standupmaths,100472.00
marshmello,2814427.00
Wendy Williams,414929.00
Good Mythical Morning,827546.00
Life Noggin,440163.00
Gus Johnson,141129.00
VICE,34221.00
Rudy Mancuso,4576001.00
Nickelback,282854.00
Vanity Fair,30341.00
Cut,207712.00
Red Bull,135459.00
Dancing With The Stars,214305.00
BBC Earth,31910.00
U2VEVO,265822.00
Summit,11769.00
nigahiga,2584165.00
emma chamberlain,175760.00
amc,220189.00
BBCRadio1VEVO,157522.00
Hunter Hayes,84091.00
Valk Aviation,1037561.00
People are Awesome,174568.00
NBA on ESPN,10457.00
Vogue,212992.00
The Scran Line,31076.00
CrazyRussianHacker,1154280.00
NFL,984836.00
hp_overload,549044.00
Mark Ferris,46545.00
TIME,32347.00
Tom Scott,319797.00
HANSON,62620.00
PeterSripol,372775.00
Saturday Night Live,2567518.00
Donut Media,120697.00
The king of DIY,289923.00
todrickhall,209442.00
D3sports.com,44320.00
NowThis World,727427.00
MattMasonPhotography,99999.00
Cleveland Cavaliers on cleveland.com,85742.00
INSIDER,20529.00
Refinery29,237111.00
BBC News,104295.00
Frank May,409445.00
Cracked,365006.00
Numberphile,174023.00
BBC Radio 1,37575.00
JerryRigEverything,248499.00
Tested,327935.00
Rappler,59466.00
Emirates,403564.00
ScreenPrism,264129.00
JimBrowski 96HourNews,36859.00
Ben Rohrbach,22101.00
officer401,133296.00
HellthyJunkFood,297046.00
SIRAH,28147.00
Shantell Martin,46308.00
Eater,33513.00
Amazon.co.uk,102878.00
Estée Lalonde,136066.00
ViralHog,100120.00
Canada Soccer,42472.00
Niki and Gabi,863232.00
EminemVEVO,22702386.00
Gregg Peterson,6904.00
Sarasota Police Department,1338.00
FaeryInLoveInc,58604.00
Nobrand,121979.00
The Office US,215222.00
dope2111,1826373.00
Vostok.bike,1118.00
U.S. Navy,251684.00
CamilaCabelloVEVO,6355501.00
MatthewSantoro,381688.00
WLKY News Louisville,6743.00
GoDucksdotcom,687.00
Kevin Durant,190543.00
Simply Nailogical,2083918.00
Shawn Johnson East,350422.00
Hybrid Network,8088.00
Entertainment Weekly,3839.00
FBE,2328148.00
CBS Sunday Morning,10309.00
JenniferLopezVEVO,15432746.00
12 News,92327.00
Mark Linsangan,9036.00
Grace Helbig,216234.00
LOFTON SHAW,5119.00
GEazyMusicVEVO,4435991.00
BellatorMMA,1249702.00
Jonathan Morrison,300601.00
IGN,616371.00
Safiya Nygaard,3031863.00
ABC News,10542.00
Lele Pons,3790933.00
Bkav Corp,1167646.00
YouTube Spotlight,849499.00
Jason Derulo,2398093.00
John Lewis,7727696.00
fosterthepeopleVEVO,383308.00
