video_id,dislikes
SGVbdo2CkgI,16
nc99ccSXST0,1047
NfLVVJOuY5M,18
F388-6yDDpc,514
KhdecX0qjNA,78
iIxy3JN3-jc,128
kWIzjMWmuYk,29
symdi5KSJts,171
_-aDHxoblr4,160
eNSN6qet1kE,104
39idVpFF7NQ,2863
NZFhMSgbKKM,74
lBHPVE3AI6Y,43
e_7zHm7GsYc,88
TaTleo4cOs8,315
GgVmn66oK_A,1406
ogYum4kWXgk,64
kIUHDwn51y8,36
Lz7dya576HY,42
zNqCVTs38nU,77
ZAQs-ctOqXQ,731
fcVjitaM3LY,68
kqmhCaF5_44,67
B5HORANmzHw,248
6VhU_T463sU,171
eAyxMv4IBH8,326
qeWvgZLz9yU,347
MKLlDnUqho4,34
wwZ-T_WQ03A,337
9XSULcLI6Hg,10
hz7ukDjuq4w,142
p2hJxyF7mok,145
CBVGjS_EJok,177
i-LCORFB860,47
dRpNZV18N_g,260
vWYyZMH_QjA,89
MNiweoKXwfg,10
VJlSq6h0LNg,57
ijJPFowBsBc,148
HBS9783c0BI,1085
n1WpP7iowLc,47715
PABlVzeldaM,92
dQvIbulWCM4,1756
pjuPpVLXDQg,14
0mlNzVSJrT0,210
n30k5CwLhS4,253
0tO_l_Ed5Rs,16033
BWPrk9PUwQE,1980
1WDj0DddCcM,35
bqgVB6Vl-lI,52
STI2fI7sKMo,1838
0PpNlNJ6Nng,1419
sbcbvuitiTc,2483
ZhSk8mPSWCg,3
c-3JxzN2u34,7
9KIP-Ncp2jU,45
KODzih-pYlU,227
w0XYVssCKjw,125
9xSx-5tmq44,349
1cgK-BIrXes,2021
ujyTQNNjjDU,3628
4v0nOAzcG2A,378
8mhTWqWlQzU,1161
6340tX9M_eM,450
t4YAyT4ihIQ,8702
L_5_slz4ke4,21
Jw1Y-zhQURU,10859
_Iz83-Cmt6A,67
lY_0mkYDZDU,610
ObIQ0s02UHg,1997
AJYb0Yom5UQ,48
k8NxqyGcZA4,5584
gLswXiRLdkA,1249
2Vv-BfVoq4g,23137
i4YQRLQVixM,887
YlvCVbfS9M0,594
MyEqfBkzESU,2993
Fyyua5JzD9w,11
pa_oUisZZy0,95
cccyOn99s4Y,150
arJ5h2TY3I4,1469
UFYCTJlayS4,191
-2RVw2_QyxQ,26
e4FApt6z55c,386
uTH--XRCGxM,51
2XK4omx9uMU,444
gEHCXl4J9Qo,1925
RkHuWjiR-LM,180
#NAME?,35
xfmipNU4Odc,84
OKoL852K9uA,294
b4vTZx_AtHk,12677
kOnQocd799Y,3667
wJYE0sFOteE,40
jp9hK-jY6yY,3528
DIU3xPdhCBI,992
viyRD5z6ilQ,151
QFfEtKvXMAs,184
x9mh-SwSKas,158
g5c1bk8weaQ,2647
fCTKDn3Q8xQ,1378
xg9ebVTL9yE,98
fbHbTBP_u7U,1130
uiA4B5Y63IQ,172
QOksZ8VogRw,585
Ja_GMU7-sjs,1566
9oFP-pOMNwE,854
Eg_kW5fw6qU,137
J_QGZspO4gg,1219
ozkqm2ifMw8,125
RYs08kX3Ih4,408
PkRBTF6nt4E,588
Rq9-mW6HgQE,339
LMCuKltaY3M,159
EYkEshCOhEU,399
6nJw-jPQYVI,25
1Wk8ZRgXQnY,29
tOFkFZbPdnQ,185
qEEtzzi1EII,268
RQDphL2MVlM,123
8l_e6bx8UG8,6598
_qSW96a2aKY,1468
2VP846QcA_4,233
lsfzA7sWlOM,169
l7je4VAUvjA,65
eHIY3HNNqzM,96
5gFpcEKayz4,550
r96KpNTcog4,80
6Detw08jRhs,132
_CJN_ryETIY,69
8-Cjsnq8kVU,2378
hpapqEeb36k,414
cmoknv58jjE,5261
sottGW1p5os,1289
cxMvzK2OQTw,6510
EEIP1YpFXrE,225
YvfYK0EEhK4,1902
dUMH6DVYskc,4131
pgjRX9oGF7g,735
bAkEd8r7Nnw,1765
_BVAJ3PXZ1k,597
8hKbIhrb1WU,884
ItYOdWRo0JY,34908
RTaDvKMtUeA,317
5530I_pYjbo,773
jG1JY0rt2Os,2509
RrhSJzM8NLE,202
xL_qpDkF5A8,109
0gwkMY-mzUQ,255
UwdLlnPaRAU,90
ve3oQBjcAGI,2045
C4YNcqNF4hg,78
gjXrm2Q-te4,1169
kgaO45SyaO4,3362
k1cA-Wh3Tc0,511
9SK1I0V6U5c,916
Mn-3c6of8t8,147
eQVhAN7-IAw,483
TN5jzDgORqQ,138
9Ca8zWJOlFQ,4156
CtBca6H6Teg,455
mcqWcLDUeag,131
4SANXNco_y4,104
#NAME?,5
pcWKpGzhgq4,154
L3br0klRqF4,320
g0K5QoEj7FQ,117
lzgQrHFDNLE,786
qDAxDcjgn-8,587
0ANDjPQPS_Q,50
p2EY93WfBQk,483
4ftGS_6i7mM,11
9kF9xY74h-E,650
vZzIS17HexE,81
Y9nDagqKL7Q,452
upEIZAihcwo,42
KJ12FVmumeA,245
2kyS6SvSYSE,7543
815lSYphlbw,88
DbJ2s_g1oDc,1202
Jidk0O6uu-0,32
E_86MEdNsAI,70
64IIfxDrhJY,18
1ZAPwfrtAFY,10468
gHZ1Qz0KiKM,2507
k-w8GxCpsCU,0
Cr9oGxr0Qa0,92
l4bAoNAx2uo,1777
yxFdue1dCtE,68
aAm6AHr14zY,19
ryqZUqgjvW8,409
I-5CODzeGEE,82
FEjZiCPuvqQ,27
ENr6CXm1YxU,41
YVfyYrEmzgM,120
jGiqc3HSxEg,231
R9c-_neaxeU,40
5E4ZBSInqUU,3757
VonJ4ASDO40,636
puqaWrEC7tY,1299
vU14JY3x81A,211
lZ68j2J_GOM,239
iyrefjMs64k,593
zZ9FciUx6gs,664
SGVbdo2CkgI,22
zxUwbflE1SY,143
NfLVVJOuY5M,29
GKUE2U2qlzY,56
N0tmF4j4K6g,13
PaJCFHXcWmM,346
Hq89wYzOjfs,13
d380meD0W0M,2305
MltuW2kcREI,138
VifQlJit6A0,565
KhdecX0qjNA,85
e_7zHm7GsYc,95
i-LCORFB860,117
ogYum4kWXgk,65
symdi5KSJts,209
7oRdswHqaf8,36
nc99ccSXST0,1096
F388-6yDDpc,530
kWIzjMWmuYk,37
_-aDHxoblr4,164
kqmhCaF5_44,92
eNSN6qet1kE,119
39idVpFF7NQ,2950
kIUHDwn51y8,38
TaTleo4cOs8,321
zNqCVTs38nU,77
GgVmn66oK_A,1446
qC0I5PEhkJo,12
iIxy3JN3-jc,128
MNiweoKXwfg,11
lBHPVE3AI6Y,45
eAyxMv4IBH8,331
ZAQs-ctOqXQ,741
fcVjitaM3LY,72
SFdO-19Xdho,21
qeWvgZLz9yU,359
6VhU_T463sU,175
qK8AcryiniI,14
p2hJxyF7mok,159
wwZ-T_WQ03A,356
9XSULcLI6Hg,10
NZFhMSgbKKM,74
hz7ukDjuq4w,159
dRpNZV18N_g,266
MKLlDnUqho4,48
vWYyZMH_QjA,91
Lz7dya576HY,42
CBVGjS_EJok,182
ijJPFowBsBc,158
pjuPpVLXDQg,15
dQvIbulWCM4,1828
n1WpP7iowLc,50018
VJlSq6h0LNg,58
KLZl_sxSN_g,0
n30k5CwLhS4,253
0mlNzVSJrT0,210
bqgVB6Vl-lI,55
BWPrk9PUwQE,2026
QKwgif8OW1w,0
PABlVzeldaM,95
0tO_l_Ed5Rs,18775
1WDj0DddCcM,35
#NAME?,2
w0XYVssCKjw,137
0PpNlNJ6Nng,1461
STI2fI7sKMo,1839
sH0Agabp3Rs,4
ZhSk8mPSWCg,3
c-3JxzN2u34,7
9KIP-Ncp2jU,45
eijd-yjXY9E,14
KODzih-pYlU,230
fGTfbMioezc,1
ujyTQNNjjDU,4059
8tbQHHso0oY,299
4v0nOAzcG2A,382
6340tX9M_eM,461
8mhTWqWlQzU,1186
L_5_slz4ke4,22
t4YAyT4ihIQ,8857
i4YQRLQVixM,916
1cgK-BIrXes,2042
ObIQ0s02UHg,2221
Jw1Y-zhQURU,11124
lY_0mkYDZDU,627
k8NxqyGcZA4,5609
_Iz83-Cmt6A,69
2Vv-BfVoq4g,24548
gLswXiRLdkA,1259
MyEqfBkzESU,3091
OKoL852K9uA,298
#NAME?,35
pa_oUisZZy0,104
G8gJ4RTBxcg,14
UFYCTJlayS4,193
cccyOn99s4Y,151
arJ5h2TY3I4,1615
-2RVw2_QyxQ,27
uTH--XRCGxM,56
xfmipNU4Odc,85
e4FApt6z55c,400
RkHuWjiR-LM,186
gEHCXl4J9Qo,1949
2XK4omx9uMU,512
AJYb0Yom5UQ,49
b4vTZx_AtHk,12794
YlvCVbfS9M0,622
DIU3xPdhCBI,1047
Fyyua5JzD9w,11
QFfEtKvXMAs,192
jp9hK-jY6yY,3570
coOKvrsmQiI,3498
p8XP7A7kvzM,3782
8-Cjsnq8kVU,4515
